Charges_To_Tenure_Ratio,Tenure Months_Log,Is_Month_To_Month_Electronic,Service_Density,Tenure Months,Tenure_Years,Is_Long_Term,Is_New_Customer,Services_Per_Dollar,Is_Family,Total Charges_Log,Is_Long_Term_Auto_Pay,Monthly Charges_Log,Total Charges,Price_Sensitivity,Monthly Charges,Security_Services,Entertainment_Ratio,Security_Ratio,Has_Full_Security,Entertainment_Services,Has_Full_Entertainment,Has_Premium_Tech,Is_Senior_Family,Service_Count,Avg_Monthly_Revenue,Revenue_Growth_Rate,Distance_From_Center,Longitude,Latitude,Actual,Predicted,Probability,Misclassified
11.127777777777778,2.1972245773362196,0,0.6666666666666666,8,0.6666666666666666,0,0,0.059850374064837904,0,6.812949971708225,0,4.6166045636137545,908.55,0.043861945720587756,100.15,1,0.3278688524590164,0.1639344262295082,0,2,1,1,0,6,112.16666666666667,14.173946957878316,2.1341361374430243,-119.014627,34.297628,0,1,0.7207077828181966,1
4.538636363636363,3.091042453358316,0,0.2727272727272727,21,1.75,0,0,0.06003001500750376,0,7.597672248021797,0,4.613634264400221,1992.55,0.04373055696655703,99.85,1,0.3278688524590164,0.1639344262295082,0,2,1,0,0,6,94.43364928909952,4.517229653139878,0.5567726628613923,-119.285484,36.497895,0,1,0.5835839115646402,1
5.6875,2.772588722239781,1,0.3125,15,1.25,0,0,0.054884742041712405,0,7.266163719547021,0,4.5217885770490405,1430.05,0.03985458872265088,91.0,1,0.19607843137254904,0.19607843137254904,0,1,0,0,0,5,94.70529801324503,6.352954242558862,3.320336787828459,-117.2914,34.105935,0,1,0.637590585193428,1
30.483333333333334,1.0986122886681096,1,1.6666666666666667,2,0.16666666666666666,0,1,0.054614964500273075,0,5.15010733938285,0,4.5266679578331335,171.45,0.04005167185369696,91.45,1,0.19607843137254904,0.19607843137254904,0,1,0,0,0,5,81.64285714285714,41.81707317073171,2.153889321111014,-121.926417,36.618337,0,1,0.7676776887677806,1
8.36111111111111,2.1972245773362196,1,0.3333333333333333,8,0.6666666666666666,0,0,0.039814200398142006,0,6.35905470278722,0,4.334017415487521,576.7,0.032956679136038225,75.25,0,0.0,0.0,0,0,0,0,0,3,71.19753086419755,8.99687987519501,2.37457534522872,-118.505104,34.291273,0,1,0.6752302898160643,1
25.6,0.6931471805599453,0,1.5,1,0.08333333333333333,0,1,0.05847953216374269,0,3.955082494888593,0,3.955082494888593,51.2,0.022423680687909068,51.2,1,0.0,0.3225806451612903,0,0,0,0,0,3,46.54545454545455,46.54545454545455,3.29344122205432,-117.531446,33.893823,0,1,0.5615799030473854,1
10.549999999999999,1.9459101490553132,0,0.42857142857142855,6,0.5,0,1,0.040567951318458424,0,5.997198078955742,0,4.3154861108656375,401.3,0.032343531617228215,73.85,0,0.0,0.0,0,0,0,0,0,3,65.78688524590164,11.11634349030471,2.6829249904288353,-121.554034,38.311609,0,1,0.6611668016932021,1
5.5928571428571425,2.639057329615259,0,0.21428571428571427,13,1.0833333333333333,0,0,0.03826530612244898,0,6.9421083953538,0,4.373238128640803,1033.95,0.034292464802017184,78.3,0,0.3225806451612903,0.0,0,1,0,0,0,3,78.92748091603055,6.114429331756358,2.4171846749757986,-118.435969,34.286131,0,1,0.5317098057759997,1
22.675,1.3862943611198906,0,1.0,3,0.25,0,1,0.04405286343612335,0,5.474998043451905,0,4.51852237926242,237.65,0.039723199968620164,90.7,0,0.48780487804878053,0.0,0,2,1,0,0,4,76.66129032258064,26.115384615384617,1.8022483795439022,-118.101378,35.676978,0,1,0.7488401821605362,1
18.7625,1.3862943611198906,0,0.75,3,0.25,0,1,0.03992015968063873,0,5.31762967758041,0,4.331391018705302,202.9,0.032869086633351086,75.05,1,0.0,0.3225806451612903,0,0,0,0,0,3,65.45161290322581,22.2967032967033,1.5960524996889833,-118.397236,37.04584,0,1,0.577808945031287,1
