Charges_To_Tenure_Ratio,Tenure Months_Log,Is_Month_To_Month_Electronic,Service_Density,Tenure Months,Tenure_Years,Is_Long_Term,Is_New_Customer,Services_Per_Dollar,Is_Family,Total Charges_Log,Is_Long_Term_Auto_Pay,Monthly Charges_Log,Total Charges,Price_Sensitivity,Monthly Charges,Security_Services,Entertainment_Ratio,Security_Ratio,Has_Full_Security,Entertainment_Services,Has_Full_Entertainment,Has_Premium_Tech,Is_Senior_Family,Service_Count,Avg_Monthly_Revenue,Revenue_Growth_Rate,Distance_From_Center,Longitude,Latitude,Actual,Predicted,Probability,Misclassified
2.5027777777777778,2.8903717578961645,1,0.1111111111111111,17,1.4166666666666667,0,0,0.044296788482835,0,6.648466281031574,0,3.8297277627013155,770.6,0.019730211230279363,45.05,0,0.0,0.0,0,0,0,0,0,2,45.06432748538011,2.6655136630923555,2.373901479693063,-119.489162,38.636052,1,0,0.3306691070308182,1
1.7265625,3.4657359027997265,1,0.125,31,2.5833333333333335,1,0,0.07226738934056007,0,7.448129996204678,0,4.029806041084529,1715.65,0.024197428867323748,55.25,2,0.0,0.48780487804878053,0,0,0,0,0,4,55.165594855305464,1.7850900010404744,0.45917678683995483,-119.753649,36.739385,1,0,0.1396843164205866,1
3.15,3.1780538303479458,0,0.125,23,1.9166666666666667,0,0,0.039630118890356676,0,7.472841789474565,0,4.338597076746545,1758.6,0.03310996601574073,75.6,0,0.0,0.0,0,0,0,0,0,3,76.12987012987013,3.3237573237573232,3.6584911034942276,-117.200006,33.707483,1,0,0.3545901166055445,1
0.4434782608695652,3.828641396489095,0,0.021739130434782608,45,3.75,1,0,0.04878048780487805,0,6.836742511735718,0,3.0633909220278057,930.45,0.008934435274088768,20.4,0,0.0,0.0,0,0,0,0,0,1,20.630820399113084,0.45945879215841195,2.9710369654653137,-118.067402,33.8681,1,0,0.04248206939254107,1
10.14,1.6094379124341003,0,0.6,4,0.3333333333333333,0,1,0.05905511811023621,0,5.025852259901116,0,3.9454577815143836,151.3,0.022204699431191206,50.7,1,0.0,0.3225806451612903,0,0,0,0,0,3,36.90243902439025,9.397515527950311,2.6032189343050094,-118.491156,34.031529,1,0,0.4411963776729046,1
27.45,0.6931471805599453,1,2.0,1,0.08333333333333333,0,1,0.07272727272727272,0,4.023564380161053,0,4.023564380161053,54.9,0.024044141987621247,54.9,2,0.0,0.48780487804878053,0,0,0,0,0,4,49.90909090909091,49.90909090909091,2.600375487459729,-118.328915,34.137411,1,0,0.4960881798964305,1
12.08,1.6094379124341003,0,1.0,4,0.3333333333333333,0,1,0.08264462809917356,0,5.610021094841726,0,4.117409835153096,272.15,0.02645293581151773,60.4,3,0.0,0.5882352941176471,0,0,0,0,0,5,66.3780487804878,16.90372670807453,5.369416658666853,-115.662709,32.858595,1,0,0.1330779094691606,1
2.607894736842105,2.9444389791664403,0,0.15789473684210525,18,1.5,0,0,0.06042296072507553,0,6.779182998182373,0,3.9229629454664803,878.35,0.02170104254074012,49.55,1,0.0,0.3225806451612903,0,0,0,0,0,3,48.527624309392266,2.7101203332304844,3.4587022193143513,-121.895718,39.033058,1,0,0.19010446207579976,1
5.696153846153846,2.5649493574615367,0,0.46153846153846156,12,1.0,0,0,0.08091706001348618,0,6.772679837785048,0,4.318154558079471,872.65,0.03243112411991536,74.05,1,0.3278688524590164,0.1639344262295082,0,2,1,0,0,6,72.1198347107438,6.055863983344899,2.787597403603336,-122.175602,37.739113,1,0,0.39150941783923676,1
3.0439999999999996,3.2188758248682006,1,0.12,24,2.0,0,0,0.03937007874015749,0,7.446410054666804,0,4.345103280569283,1712.7,0.03332894727245859,76.1,0,0.0,0.0,0,0,0,0,0,3,71.06639004149378,2.972921367818087,5.020534734276425,-116.304991,32.677097,1,0,0.4926430727372039,1
5.314285714285715,2.639057329615259,0,0.21428571428571427,13,1.0833333333333333,0,0,0.040268456375838924,0,6.799891633106192,0,4.32280727501391,896.75,0.03258441099961787,74.4,0,0.0,0.0,0,0,0,0,0,3,68.45419847328245,5.30307510348906,2.8926668502726693,-121.363411,38.715498,1,0,0.4798951245602624,1
5.477777777777778,2.8903717578961645,0,0.3333333333333333,17,1.4166666666666667,0,0,0.06079027355623101,0,7.441877419298563,0,4.601162164590552,1704.95,0.043183103824762384,98.6,2,0.3278688524590164,0.3278688524590164,0,2,1,1,0,6,99.70467836257309,5.897440332065029,6.36754428471522,-122.948287,41.816595,1,0,0.4665536602279266,1
12.525,0.6931471805599453,0,0.5,1,0.08333333333333333,0,1,0.03976143141153081,0,3.260017768199376,0,3.260017768199376,25.05,0.010970960961564885,25.05,0,0.0,0.0,0,0,0,0,0,1,22.77272727272727,22.77272727272727,3.9474190312777533,-121.062384,40.022184,1,0,0.4892216026043816,1
